Ticker,Name,Date,Time,Open,High,Low,Close,Volume,OPENINT
TCS-EQ,TCS-EQ,03092013,12:12:0,2044.9,2044.95,2042.65,2043.85,1273,0
TCS-EQ,TCS-EQ,03092013,12:13:0,2043.1,2044.95,2043.1,2043.7,1417,0
TCS-EQ,TCS-EQ,03092013,12:14:0,2043.65,2045,2043.65,2044.05,1745,0
TCS-EQ,TCS-EQ,03092013,12:15:0,2044.75,2045,2043,2043.9,1527,0
TCS-EQ,TCS-EQ,03092013,12:16:0,2043.9,2045.1,2043.45,2045.1,2071,0
TCS-EQ,TCS-EQ,03092013,12:17:0,2045,2045,2044.45,2044.5,630,0
TCS-EQ,TCS-EQ,03092013,12:18:0,2044.45,2044.5,2044,2044,721,0
TCS-EQ,TCS-EQ,03092013,12:19:0,2044,2046,2043.65,2046,2561,0
TCS-EQ,TCS-EQ,03092013,12:20:0,2045.65,2046.7,2045.65,2046.2,983,0
TCS-EQ,TCS-EQ,03092013,12:21:0,2046.2,2048.4,2046.2,2047.6,2370,0
TCS-EQ,TCS-EQ,03092013,12:22:0,2047.3,2047.9,2045.6,2046.4,845,0
TCS-EQ,TCS-EQ,03092013,12:23:0,2046,2046.5,2045.95,2046.4,933,0
TCS-EQ,TCS-EQ,03092013,12:24:0,2046,2046.5,2046,2046.4,825,0
TCS-EQ,TCS-EQ,03092013,12:25:0,2046.4,2046.4,2045.95,2046,424,0
TCS-EQ,TCS-EQ,03092013,12:26:0,2046,2049,2045.95,2048.9,2261,0
TCS-EQ,TCS-EQ,03092013,12:27:0,2047.6,2049,2045.75,2045.75,2090,0
TCS-EQ,TCS-EQ,03092013,12:28:0,2045.75,2045.8,2042.7,2043,1606,0
TCS-EQ,TCS-EQ,03092013,12:29:0,2043,2043.65,2042.15,2042.55,853,0
TCS-EQ,TCS-EQ,03092013,12:30:0,2042.7,2042.7,2041.4,2041.5,2809,0
TCS-EQ,TCS-EQ,03092013,12:31:0,2041.5,2042,2040.6,2042,1679,0
TCS-EQ,TCS-EQ,03092013,12:32:0,2042.5,2043.3,2041.35,2042.9,1665,0
TCS-EQ,TCS-EQ,03092013,12:33:0,2042.85,2046,2042.85,2044.75,2043,0
TCS-EQ,TCS-EQ,03092013,12:34:0,2044.95,2047.9,2041,2041.35,10687,0
TCS-EQ,TCS-EQ,03092013,12:35:0,2041.6,2044.5,2041,2044.5,2885,0
TCS-EQ,TCS-EQ,03092013,12:36:0,2044.5,2044.5,2042.65,2042.75,1669,0
TCS-EQ,TCS-EQ,03092013,12:37:0,2042.8,2043.75,2042.5,2043.7,2119,0
TCS-EQ,TCS-EQ,03092013,12:38:0,2043.95,2043.95,2042.95,2043.5,1690,0
TCS-EQ,TCS-EQ,03092013,12:39:0,2043.4,2043.5,2041.45,2041.95,2232,0
TCS-EQ,TCS-EQ,03092013,12:40:0,2041.95,2043,2041.95,2043,1360,0
TCS-EQ,TCS-EQ,03092013,12:41:0,2043,2046.65,2042.65,2045,2468,0
TCS-EQ,TCS-EQ,03092013,12:42:0,2044.75,2045,2043.1,2044,2370,0
TCS-EQ,TCS-EQ,03092013,12:43:0,2044,2046.25,2043.85,2045.85,2720,0
TCS-EQ,TCS-EQ,03092013,12:44:0,2044.9,2046.3,2043.45,2043.5,2718,0
TCS-EQ,TCS-EQ,03092013,12:45:0,2043.5,2043.5,2042.7,2043.15,2191,0
TCS-EQ,TCS-EQ,03092013,12:46:0,2043,2043.5,2043,2043.5,1887,0
TCS-EQ,TCS-EQ,03092013,12:47:0,2043,2043,2042.6,2043,1297,0
TCS-EQ,TCS-EQ,03092013,12:48:0,2042.3,2043.5,2041.3,2043,1971,0
TCS-EQ,TCS-EQ,03092013,12:49:0,2043,2043.5,2042.1,2043.5,2292,0
TCS-EQ,TCS-EQ,03092013,12:50:0,2043.05,2045.4,2042.25,2045.4,2819,0
TCS-EQ,TCS-EQ,03092013,12:51:0,2045,2045.85,2041.6,2044,2049,0
TCS-EQ,TCS-EQ,03092013,12:52:0,2044,2045,2043.8,2044.5,1725,0
TCS-EQ,TCS-EQ,03092013,12:53:0,2044.5,2044.95,2044,2044,1785,0
TCS-EQ,TCS-EQ,03092013,12:54:0,2044.95,2045,2044.45,2045,1263,0
TCS-EQ,TCS-EQ,03092013,12:55:0,2045,2045,2044.45,2045,1813,0
TCS-EQ,TCS-EQ,03092013,12:56:0,2045,2048.4,2044.8,2048.4,2227,0
TCS-EQ,TCS-EQ,03092013,12:57:0,2048.4,2048.7,2044.1,2046.9,3158,0
TCS-EQ,TCS-EQ,03092013,12:58:0,2046.9,2046.9,2045.5,2045.6,1114,0
TCS-EQ,TCS-EQ,03092013,12:59:0,2046,2047,2044.75,2047,1528,0
TCS-EQ,TCS-EQ,03092013,13:0:0,2047,2047,2046.85,2046.85,331,0
TCS-EQ,TCS-EQ,03092013,13:1:0,2047,2050,2046.85,2049.95,3435,0
TCS-EQ,TCS-EQ,03092013,13:2:0,2049.95,2050,2047.9,2049.95,3432,0
TCS-EQ,TCS-EQ,03092013,13:3:0,2049.95,2050,2049.1,2049.9,1808,0
TCS-EQ,TCS-EQ,03092013,13:4:0,2049.9,2049.9,2047.05,2049,1574,0
TCS-EQ,TCS-EQ,03092013,13:5:0,2049,2049,2046.5,2048,1428,0
TCS-EQ,TCS-EQ,03092013,13:6:0,2048.5,2048.5,2046.35,2048.5,1268,0
TCS-EQ,TCS-EQ,03092013,13:7:0,2048.5,2048.75,2047.95,2048,771,0
TCS-EQ,TCS-EQ,03092013,13:8:0,2048,2049.65,2047.9,2048.5,2661,0
TCS-EQ,TCS-EQ,03092013,13:9:0,2049.8,2049.8,2047.2,2048.9,2326,0
TCS-EQ,TCS-EQ,03092013,13:10:0,2048.8,2048.95,2048.8,2048.8,1095,0
TCS-EQ,TCS-EQ,03092013,13:11:0,2048.8,2049.4,2047,2047,5677,0
TCS-EQ,TCS-EQ,03092013,13:12:0,2047.2,2048.15,2046.25,2046.65,2585,0
TCS-EQ,TCS-EQ,03092013,13:13:0,2046.5,2046.5,2042,2044.8,4172,0
TCS-EQ,TCS-EQ,03092013,13:14:0,2044.8,2045.6,2044.75,2045.5,1511,0
TCS-EQ,TCS-EQ,03092013,13:15:0,2044.85,2048,2044.5,2047.35,1685,0
TCS-EQ,TCS-EQ,03092013,13:16:0,2048,2049.95,2047.45,2049,2845,0
TCS-EQ,TCS-EQ,03092013,13:17:0,2048.55,2049,2048,2049,1508,0
TCS-EQ,TCS-EQ,03092013,13:18:0,2049,2050.2,2048.9,2050.2,2690,0
TCS-EQ,TCS-EQ,03092013,13:19:0,2050.95,2054.75,2050.05,2053.55,9748,0
TCS-EQ,TCS-EQ,03092013,13:20:0,2053.5,2053.55,2052,2052.35,1900,0
TCS-EQ,TCS-EQ,03092013,13:21:0,2052.35,2053.5,2050.5,2052,3120,0
TCS-EQ,TCS-EQ,03092013,13:22:0,2051.35,2054,2051.35,2053.75,3654,0
TCS-EQ,TCS-EQ,03092013,13:23:0,2053.9,2057,2053.9,2056.9,8789,0
TCS-EQ,TCS-EQ,03092013,13:24:0,2056.9,2057,2054,2057,5790,0
